"Id";"Type";"Nature";"Caracteristique"
5446;"vêtement";"robe";
5447;"cheval";"couverture de selle";
5448;"vêtement";"robe";
5449;"vêtement";"robe";
5450;"vêtement";"robe";
5451;"ajusté";"gipon";
5452;"vêtement";"robe";
5453;"ajusté";"gipon";"petit"
5454;"sous vêtement";"chausses";
5455;"sous vêtement";"chausses";
5456;"ajusté";"gipon";"petit"
5457;"parure";"gant";
5458;"vêtement";"robe";
5459;"vêtement";"robe";
5460;"sous vêtement";"chausses";
5461;"tête";"chaperon";
5462;"tête";"coiffe";
5463;"extérieur";"houpelande";"jusqu'au pieds"
5464;"extérieur";"houpelande";
5465;"vêtement";"habit";"brodé de noeud"
5466;"parure";"aiguillette";
5467;"parure";"gant";
5468;"parure";"escafinion";
5469;"sous vêtement";"chausses semellée";
5470;"parure";"chaussure";
5471;"sous vêtement";"drap linge";
5472;"cheval";"garnison";
5473;"ajusté";"gipon";
5474;"cheval";"garnison de selle";
5475;"sous vêtement";"chausses";
5476;"tête";"chausses";
5477;"parure";"manche";
5478;"intérieur";"robe";
5479;"mobilier";"coussin";
5480;"religieux";"robe";"italienne"
5481;"vêtement";"robe";
5482;"vêtement";"robe";
5483;"vêtement";"robe";
5484;"vêtement";;
5485;"vêtement";"robe";
5486;"vêtement";"robe";
5487;"militaire";"bandière";"de Vigney en provence"
5488;"vêtement";"robe";
5489;"intérieur";"garde corps";
5490;"vêtement";"robe";
5491;"sous vêtement";"chausses";
5492;"tête";"chaperon";
5493;"ouvrage";"inconnue";
5494;"vêtement";"robe";
5495;"vêtement";"robe";
5496;"vêtement";"robe";
5497;"vêtement";"robe";
5498;"parure";"bourse";
5499;"vêtement";"robe";
5500;"vêtement";"robe";
5501;"parure";"aiguillette";
5502;"ouvrage";"inconnue";
5503;"tête";"chapeau de paille";"garni"
5504;"sous vêtement";"chausses";
5505;"sous vêtement";"chausses";
5506;"tête";"chaperon";
5507;"parure";"manche";
5508;"vêtement";"robe";
5509;"vêtement";"robe";
5510;"vêtement";"robe";
5511;"vêtement";"robe";"brodé"
5512;"cheval";"garnison";
5513;"ajusté";"gipon";"petit"
5514;"ajusté";"gipon";"petit"
5515;"sous vêtement";"chausses";
5516;"vêtement";"robe";
5517;"sous vêtement";"chausses";
5518;"vêtement";"robe";
5519;"sous vêtement";"chausses";
5520;"vêtement";"robe";
5521;"vêtement";"robe";
5522;"vêtement";"robe";
5523;"intérieur";"robe";"à lever et à coucher"
5524;"vêtement";"robe";
5525;"vêtement";"robe";
5526;"vêtement";"robe";
5527;"vêtement";"robe";
5528;"vêtement";"robe";
5529;"vêtement";"robe";
5530;"vêtement";"robe";
5531;"sous vêtement";"chausses";
5532;"vêtement";"robe";
5533;"vêtement";"robe";
5534;"vêtement";"robe";"brodé aux manches gauche"
5535;"parure";"manche";"brodé"
5536;"sous vêtement";"chausses";
5537;"vêtement";"robe";
5538;"cheval";"couverture de selle";
5539;"ouvrage";"inconnue";
5540;"vêtement";"robe";
5541;"sous vêtement";"futaine";
