"Id";"Type";"Famille";"Nom";"Couleur";"CaracCouleur";"CaracFacture";"Ville";"Region"
1891;"O";"NA";"feuil ag doré";;;;;
1892;"M";"soie";"fil doré";;;;;
1893;"E";"soie";"bifette";;;;;
1894;"E";"toile";"toile";;;;"Reims";"Champagne"
1895;"M";"soie";"soie";;;;;
1896;"M";"soie";"fil";;;;;
1897;"E";"laine";"pers";"pers";;;"Montivilliers";"Normandie"
1898;"E";"laine";"brunette";"noir";;;;
1899;"E";"laine";"paonace";"paonace";;;;
1900;"E";"laine";"drap";;;;;
1901;"E";"laine";"drap";;;;"Bruxelles";"Brabant"
1902;"F";"NA";"hermine";;;"gros";;
1903;"F";"NA";"martre";;;;;
1904;"F";"NA";"fouine";;;;;
1905;"F";"NA";"vair";;;;;
1906;"E";"soie";"camocas";;;;;
1907;"E";"toile";"toile";"blanc";;;"Reims";"Champagne"
1908;"E";"toile";"toile";;;"prime";;
1909;"E";"toile";"toile";;;;;
1910;"E";"toile";"toile";"pers";;;;
1911;"E";"mélangé";"futaine";;;;;
1912;"M";"soie";"fil";;;;;
1913;"M";"NA";"fil";"ynde";;;;
1914;"M";"NA";"fil";"rouge";;;;
1915;"E";"toile";"toile";"ynde";;;;
1916;"E";"soie";"velours";"noir";;;;
1917;"E";"mélangé";"futaine";;;;;
1918;"M";"soie";"soie";"vermeil";;;;
1919;"M";"soie";"fil d'or";;;;;
1920;"E";"toile";"toile";;;;;
1921;"M";"NA";"coton";;;;;
1922;"M";"NA";"fil";"ynde";;;;
1923;"E";"soie";"cendal";"noir";;;;
1924;"P";"NA";"peau";;;;;
1925;"E";"laine";"drap";;;;"Valais";"Valais"
1926;"M";"soie";"cordon";;;;;
1927;"E";"soie";"velours";"noir";;;;
1928;"E";"soie";"cendal";"noir";;;;
1929;"E";"toile";"toile";"noir";;;;
1930;"M";"soie";"soie";"noir";;;;
1931;"M";"soie";"soie";"vermeil";;;;
1932;"M";"soie";"ruban d'or";;;"double";;
1933;"E";"mélangé";"futaine";;;;;
1934;"M";"laine";"ruban";;;;;
1935;"E";"laine";"étamine";;;;;
1936;"M";"NA";"feutre";;;;;
1937;"M";"soie";"lacet";;;;;
1938;"M";"NA";"coton";;;;;
1939;"E";"toile";"toile";"noir";;;;
1940;"E";"soie";"cendal";"noir";;;;
1941;"O";"NA";"cloux";;;;;
1942;"M";"soie";"ruban";;;;;
1943;"P";"NA";"peau";"blanc";;;;
1944;"P";"NA";"peau";"blanc";;;;
1945;"M";"soie";"soie";"noir";;;;
1946;"E";"soie";"cendal";"noir";;;;
1947;"E";"soie";"cendal";"noir";;;;
1948;"E";"soie";"cendal";;;;;
1949;"E";"soie";"cendal";;;"vieux";;
1950;"E";"soie";"cendal";"noir";;;;
1951;"E";"soie";"cendal";"noir";;;;
1952;"E";"toile";"toile";"noir";;;;
1953;"E";"toile";"toile";;;;;
1954;"O";"NA";"noeud";;;;;
1955;"E";"soie";"cendal";"noir";;;;
1956;"E";"soie";"cendal";"azur";;;;
1957;"M";"NA";"papier d'or";;;;;
1958;"E";"laine";"sarge";;;"tresse grande forme";;
1959;"E";"laine";"tanné";"tanné";;;"Bruxelles";"Brabant"
1960;"E";"toile";"coton";;;;;
1961;"F";"NA";"renard";;;;;
1962;"E";"laine";"camelin";"vermeil";;;"Chimay";"Hainaut"
1963;"E";"laine";"brunette";"noir";;;;
1964;"E";"laine";"blanc";"blanc";;;;
1965;"E";"laine";"brunette";"noir";;;;
1966;"E";"laine";"camelin";;;;;
1967;"E";"laine";"stralot";;;;"Bruxelles";"Brabant"
1968;"E";"laine";"vert";"vert";"encre";;"Bruxelles";"Brabant"
1969;"F";"NA";"gris";;;;;
1970;"E";"laine";"vert";"vert";;;"Bruxelles";"Brabant"
1971;"E";"laine";"pers";"pers";;;;
1972;"E";"laine";"camelin";;;;;
1973;"E";"laine";"brunette";"noir";;;;
1974;"E";"laine";"camelin";;;;;
1975;"E";"laine";"camelin";;;;"Malines";"Brabant"
1976;"E";"laine";"camelin";;;;;
1977;"E";"laine";"camelin";;;;;
1978;"E";"laine";"brunette";;;;"Evreux";"Normandie"
1979;"E";"soie";"soie";"vert";;;;
1980;"E";"soie";"velours";"noir";;;;
1981;"E";"soie";"soie";;;;;
1982;"E";"soie";"soie";;;;;
1983;"E";"toile";"toile";"vert";;;;
1984;"E";"toile";"toile";"blanc";;;;
1985;"E";"mélangé";"futaine";;;;;
1986;"E";"laine";"vert";"vert";;;;
1987;"E";"soie";"drap d'or";;;;;
1988;"E";"soie";"drap d'or";;;;;
1989;"E";"toile";"toile";;;;;
1990;"M";"NA";"coton";;;;;
1991;"M";"NA";"fil";"coloré";;;;
1992;"M";"soie";"soie";"vert";;;;
1993;"M";"soie";"soie";"ynde";;;;
1994;"M";"soie";"soie";"noir";;;;
1995;"E";"soie";"bifette d'or";;;;;
1996;"F";"NA";"vair";;;;;
1997;"F";"NA";"hermine";;;;;
1998;"F";"NA";"létice";;;;;
1999;"F";"NA";"vair";;;"à grosse cote";;
2000;"F";"NA";"renard";;;;;
2001;"F";"NA";"gris";;;;;
2002;"F";"NA";"penne";;;;;
2003;"M";"soie";"soie";;;;;
2004;"E";"soie";"soie d'argent";;;;;
2005;"O";"NA";"or de chypre";;;;;
2006;"F";"NA";"bièvre";;;;;
2007;"F";"NA";"vair";;;;;
2008;"M";"soie";"soie";;;;;
2009;"M";"soie";"soie";;;;;
2010;"M";"NA";"fil";"blanc";;;;
2011;"E";"soie";"cendal";"blanc";;;;
2012;"M";"NA";"fil";"blanc";;;;
2013;"F";"NA";"bièvre";;;;;
2014;"F";"NA";"bièvre";;;;;
2015;"F";"NA";"bièvre";;;;;
